i,vshare_sp,vshare_au,delta_h,db_h,dw_h,s_h,delta_le,db_le,dw_le,s_le,csv_sig_h,csv_sig_le,csv_delta_h,csv_delta_le,csv_p_h,csv_p_le
97,0.28626223696754405,0.37777035820079624,0.012270306556625215,0.017823748976853956,-0.005553442420228729,0.7624418465889037,-0.05382993171491385,-0.02127488508650583,-0.03255504662840799,0.39522407717659297,0.0,0.0,0.01227,-0.05383,0.695652,0.093453
98,0.29902349366203,0.18962949019671718,0.029508116312143246,0.00085050026076482,0.028657616051378402,0.02882258737792832,-0.02370681276901309,0.004706177607733614,-0.028412990376746716,0.14209830421884187,0.0,0.0,0.029508,-0.023707,0.384808,0.48026
99,0.13305414262197476,0.3291111638149734,0.020286397200432665,0.008052405052256227,0.012233992148176437,0.39693618204835734,-0.0038929913888747893,0.0004058368165640617,-0.0042988282054388675,0.08626263818274649,0.0,0.0,0.020286,-0.003893,0.529235,0.914543
100,0.2827099463247325,0.2517091412400491,0.04781934793867071,0.020368428126824836,0.02745091981184589,0.42594533394616246,-0.012653055483024533,-0.004534896012286557,-0.00811815947073799,0.35840323456817325,0.0,0.0,0.047819,-0.012653,0.168916,0.694653
101,0.25237670160392217,0.24510653854813538,0.03986711838853887,0.0005745342772499164,0.039292584111288935,0.014411231623278939,-0.07480637917477931,-0.0047267114556169216,-0.0700796677191624,0.06318594092855806,0.0,1.0,0.039867,-0.074806,0.253873,0.029485
102,0.26706954970387203,0.28675262713107824,0.01414727300492823,0.034673256797018936,-0.020525983792090686,0.6281473517927292,-0.05988636943862727,-0.033268335468388636,-0.02661803397023868,0.5555243335043487,0.0,0.0,0.014147,-0.059886,0.668666,0.070965
103,0.32582749466472294,0.1402530786847017,0.04707178077042372,0.008297311785731006,0.03877446898469272,0.17626934120462243,-0.10350264054109934,0.002740497631779127,-0.10624313817287842,0.025145955276177422,0.0,1.0,0.047072,-0.103503,0.161919,0.003998
104,0.1808344937386659,0.18818868503810615,0.015799669598781964,-0.02376623562991399,0.03956590522869596,0.3752634177166457,-0.047523122050061276,0.024692408323837532,-0.07221553037389877,0.2548027401640969,0.0,0.0,0.0158,-0.047523,0.626687,0.146427
105,0.20548635131550644,0.26152770403704045,0.03457193633677737,0.01754782480641407,0.0170241115303633,0.5075742543164071,-0.01790843094051553,-0.011844528070610191,-0.006063902869905325,0.6613939607525009,0.0,0.0,0.034572,-0.017908,0.304848,0.593203
106,0.19936573322525794,0.3364075405075971,-0.019979650622260856,0.014813589300414726,-0.034793239922675585,0.2986199588325935,-0.03792919506920195,-0.01208660191817057,-0.025842593151031323,0.31866223093104246,0.0,0.0,-0.01998,-0.037929,0.542729,0.281859
107,0.17441239593940008,0.2534298326217766,-0.06294021519732113,0.014554823433205109,-0.07749503863052626,0.15811890541593615,-0.008568314836276951,-0.011307284564018309,0.002738969727741389,0.8050035496404035,0.0,0.0,-0.06294,-0.008568,0.061469,0.777611
108,0.3455650455330091,0.22807882500720394,0.03774686770829204,0.03251667226947669,0.0052301954388153755,0.8614402795157907,-0.060727730723151185,-0.03174730007210315,-0.02898043065104801,0.5227809386923158,0.0,0.0,0.037747,-0.060728,0.268866,0.084958
109,0.3376700632994488,0.3244148466098554,0.0009182551447369501,0.005911982060895243,-0.004993726916158308,0.5420997454942643,-0.046110661013993325,-0.011586996121148076,-0.034523664892845245,0.25128670607501685,0.0,0.0,0.000918,-0.046111,0.975012,0.14093
110,0.26333699526178017,0.2846770184215492,0.010751128984279662,0.025421630169331036,-0.014670501185051364,0.6340802873417763,-0.011107007933251128,-0.018835584553071095,0.0077285766198199705,0.7090600162557723,0.0,0.0,0.010751,-0.011107,0.752124,0.758121
111,0.18760793737980733,0.28378938747005644,-0.02420782291712082,-0.01917648324852585,-0.005031339668594967,0.7921605885080816,-0.021956460827209725,0.01926221731924454,-0.041218678146454274,0.3184843275041939,0.0,0.0,-0.024208,-0.021956,0.464268,0.497751
112,0.2537328953033786,0.2668697917066423,-0.00727303310410478,-0.007401552679123566,0.00012851957501878574,0.9829324911260863,-0.06949234131032798,-0.008741764458216346,-0.060750576852111646,0.12579464576072844,0.0,1.0,-0.007273,-0.069492,0.825087,0.03998
113,0.21925793818597847,0.3303888417302037,0.03184258015424614,-0.002021682800853415,0.03386426295509956,0.056336338872106956,0.002525076735301975,0.011639899699804952,-0.009114822964502986,0.5608313774205319,0.0,0.0,0.031843,0.002525,0.332834,0.938031
114,0.24666516533232238,0.34448452501203564,0.007690666092463164,0.009574533202655718,-0.0018838671101925712,0.8355907405259534,-0.02112019746487105,-0.002625873571978128,-0.018494323892892888,0.12432997259356658,0.0,0.0,0.007691,-0.02112,0.810095,0.517241
115,0.2500347813814148,0.3529196232157303,-0.061236729439273635,-0.019472978316792112,-0.04176375112248153,0.3179950741181042,0.035038797479909116,0.014605764522387519,0.020433032957521594,0.41684548480187755,0.0,0.0,-0.061237,0.035039,0.06097,0.293353
116,0.3086563084825381,0.2686323791954359,-0.03880404243357483,0.026603649674861445,-0.06540769210843622,0.28913446059201653,-0.0071589812401604835,-0.022620032605496377,0.015461051365335893,0.5939965527982846,0.0,0.0,-0.038804,-0.007159,0.243878,0.829585
117,0.15751380992881672,0.3747587016750673,-0.018684534780818204,0.004434498650225662,-0.023119033431043885,0.16094120482071203,-0.004812285237665699,-0.0014986585004121648,-0.0033136267372535447,0.31142345609154237,0.0,0.0,-0.018685,-0.004812,0.562219,0.881059
118,0.21655651187449562,0.2685067767125246,-0.022727741527783167,0.01268799073697053,-0.03541573226475378,0.2637631755969433,-0.0012153881420955727,-0.005534545201855087,0.004319157059759517,0.5616716493875684,0.0,0.0,-0.022728,-0.001215,0.504748,0.970015
119,0.23909487772097449,0.2576951743195696,-0.017416293005683516,-0.0035661138649383164,-0.013850179140745208,0.20475734209194651,0.022560912334814918,0.0025977405166354457,0.019963171818179457,0.1151434161032016,0.0,0.0,-0.017416,0.022561,0.603198,0.49925
120,0.24113100250100092,0.33096101319942345,-0.055896154790387766,-0.009688077284746788,-0.046208077505640946,0.173322786175138,0.020028189345546954,0.007625453453114834,0.012402735892432137,0.3807360376693394,0.0,0.0,-0.055896,0.020028,0.078461,0.550225
121,0.23952047050927422,0.29389266884256493,0.029520598483845115,0.04506673496355228,-0.015546136479707191,0.7435175712759271,-0.06084349112929764,-0.05069155345590801,-0.010151937673389651,0.8331466935088273,0.0,0.0,0.029521,-0.060843,0.369315,0.05947
122,0.2689826348159023,0.3526646468563782,-0.020683377448972147,0.0011870733958468487,-0.02187045084481899,0.05148312470396298,-0.008666131466070079,0.002991866018384859,-0.011657997484454969,0.20422483921470636,0.0,0.0,-0.020683,-0.008666,0.517741,0.793603
123,0.3211965886313477,0.319934295413492,-0.022460601171067737,0.011551954517942126,-0.03401255568900984,0.25352965423031354,-0.035833265308089765,-0.024212220812682463,-0.011621044495407287,0.6756911658624728,0.0,0.0,-0.022461,-0.035833,0.485757,0.277361
