i,sig_h,sig_le,delta_h,delta_le,p_h,p_le
438,0,0,-0.010392,-0.011095,0.748126,0.740130
439,0,0,-0.002666,0.002086,0.937531,0.956022
440,0,0,-0.016216,0.020655,0.614193,0.519740
441,0,0,0.059085,-0.041980,0.081959,0.219890
442,0,0,-0.054686,0.004303,0.107946,0.908046
443,0,0,-0.010234,0.029981,0.763118,0.386807
444,0,0,-0.042749,0.014282,0.192904,0.670665
445,0,0,-0.002909,-0.046227,0.926037,0.172914
446,0,0,-0.008157,-0.032264,0.808096,0.340330
447,0,0,-0.049784,0.010260,0.131434,0.751624
448,0,0,-0.012742,-0.015425,0.691154,0.634183
449,0,0,-0.022624,-0.029426,0.515242,0.386807
450,0,0,0.006446,-0.012358,0.835082,0.713643
451,0,0,0.021683,-0.050441,0.523738,0.122939
452,0,0,0.027451,-0.051345,0.403798,0.125937
453,0,0,0.025924,0.019431,0.413293,0.548726
454,1,0,-0.065147,0.046882,0.049475,0.147426
455,0,0,-0.007366,-0.014981,0.815092,0.654173
456,0,0,-0.015576,0.004730,0.667666,0.895052
457,0,0,-0.006410,-0.029511,0.862069,0.376312
458,0,0,-0.053267,0.025768,0.118441,0.429785
459,0,0,-0.003002,0.039877,0.935032,0.225887
460,0,1,0.031791,-0.081687,0.343828,0.011494
461,0,0,0.023171,-0.057230,0.489755,0.088456
462,1,0,-0.065794,0.039576,0.039980,0.212894
463,0,0,-0.009863,-0.042974,0.748126,0.172414
464,0,0,-0.008147,0.014549,0.805597,0.656172
465,0,0,0.020899,-0.060851,0.514743,0.068966
466,0,0,-0.014615,-0.047005,0.672664,0.171914
467,0,0,0.045696,-0.041590,0.174913,0.218891
468,0,0,-0.020609,0.000018,0.526737,0.999500
469,0,0,-0.042907,0.018756,0.200900,0.579210
470,0,0,-0.000661,-0.034673,0.989505,0.319340
471,0,1,0.022801,-0.080843,0.453773,0.017991
472,0,0,0.018035,0.006795,0.564218,0.827086
473,0,0,-0.001899,-0.025721,0.953023,0.443778
474,0,0,-0.049204,0.047340,0.153423,0.163918
475,0,0,-0.018792,0.025640,0.577211,0.445277
476,0,0,-0.025277,-0.043952,0.446777,0.189405
477,0,1,0.000888,-0.073210,0.975512,0.023488
478,0,0,-0.000068,-0.000466,0.998001,0.985507
479,0,0,-0.012406,-0.018175,0.705647,0.595202
480,1,0,-0.081249,0.018488,0.010495,0.588206
481,0,0,0.019692,-0.044856,0.567716,0.184408
482,1,1,0.074276,-0.093792,0.026987,0.005497
483,0,0,0.016096,-0.026742,0.631684,0.414793
484,0,1,-0.052090,0.068565,0.115442,0.039480
485,0,0,-0.004982,0.000054,0.871564,0.998501
486,0,0,0.037007,-0.034127,0.275862,0.294853
487,1,0,-0.070556,0.052256,0.033483,0.114443
488,0,0,-0.048375,0.009057,0.152924,0.783608
489,0,0,-0.038982,0.021325,0.226387,0.531234
490,0,0,-0.011091,0.022686,0.739130,0.503248
491,0,0,-0.015233,-0.011724,0.657171,0.731634
492,0,0,0.031917,-0.059851,0.332834,0.071464
493,0,1,-0.000993,-0.086752,0.980510,0.013493
494,0,0,-0.027038,-0.004370,0.423288,0.884558
495,0,0,-0.053258,-0.006026,0.103448,0.854573
496,0,0,-0.039259,0.010033,0.246877,0.773113
497,1,0,-0.103738,0.062337,0.001000,0.053973
498,0,0,-0.038511,-0.036022,0.233883,0.266367
499,0,1,-0.006573,-0.072257,0.827586,0.033983
500,0,0,0.044496,-0.035356,0.170415,0.269365
501,0,0,-0.051964,0.016717,0.129935,0.624688
502,0,0,-0.036603,-0.056496,0.273863,0.080960
503,0,0,-0.030011,0.007944,0.359820,0.817591
504,0,0,-0.025356,0.002323,0.453773,0.930535
505,0,0,0.037228,-0.005303,0.258371,0.871064
506,0,0,-0.041761,-0.001296,0.196402,0.965017
