date,name,source,variable,value
2018-10-10,TzM,CHIRPS,precipitation,0.0
2018-10-11,TzM,CHIRPS,precipitation,0.0
2018-10-12,TzM,CHIRPS,precipitation,0.0
2018-10-13,TzM,CHIRPS,precipitation,0.0
2018-10-14,TzM,CHIRPS,precipitation,0.0
2018-10-15,TzM,CHIRPS,precipitation,0.0
2018-10-16,TzM,CHIRPS,precipitation,0.0
2018-10-17,TzM,CHIRPS,precipitation,0.0
2018-10-18,TzM,CHIRPS,precipitation,7.418014049530029
2018-10-19,TzM,CHIRPS,precipitation,7.418014049530029
2018-10-20,TzM,CHIRPS,precipitation,0.0
2018-10-21,TzM,CHIRPS,precipitation,0.0
2018-10-22,TzM,CHIRPS,precipitation,0.0
2018-10-23,TzM,CHIRPS,precipitation,0.0
2018-10-24,TzM,CHIRPS,precipitation,0.0
2018-10-25,TzM,CHIRPS,precipitation,0.0
2018-10-26,TzM,CHIRPS,precipitation,8.982765197753906
2018-10-27,TzM,CHIRPS,precipitation,17.965530395507812
2018-10-28,TzM,CHIRPS,precipitation,0.0
2018-10-29,TzM,CHIRPS,precipitation,0.0
2018-10-30,TzM,CHIRPS,precipitation,17.965530395507812
2018-10-31,TzM,CHIRPS,precipitation,0.0
2018-11-01,TzM,CHIRPS,precipitation,0.0
2018-11-02,TzM,CHIRPS,precipitation,0.0
2018-11-03,TzM,CHIRPS,precipitation,0.0
2018-11-04,TzM,CHIRPS,precipitation,0.0
2018-11-05,TzM,CHIRPS,precipitation,5.372714042663574
2018-11-06,TzM,CHIRPS,precipitation,0.0
2018-11-07,TzM,CHIRPS,precipitation,0.0
2018-11-08,TzM,CHIRPS,precipitation,7.967121124267578
2018-11-09,TzM,CHIRPS,precipitation,0.0
2018-11-10,TzM,CHIRPS,precipitation,0.0
2018-11-11,TzM,CHIRPS,precipitation,0.0
2018-11-12,TzM,CHIRPS,precipitation,0.0
2018-11-13,TzM,CHIRPS,precipitation,0.0
2018-11-14,TzM,CHIRPS,precipitation,0.0
2018-11-15,TzM,CHIRPS,precipitation,0.0
2018-11-16,TzM,CHIRPS,precipitation,0.0
2018-11-17,TzM,CHIRPS,precipitation,0.0
2018-11-18,TzM,CHIRPS,precipitation,0.0
2018-11-19,TzM,CHIRPS,precipitation,0.0
2018-11-20,TzM,CHIRPS,precipitation,0.0
2018-11-21,TzM,CHIRPS,precipitation,0.0
2018-11-22,TzM,CHIRPS,precipitation,0.0
2018-11-23,TzM,CHIRPS,precipitation,0.0
2018-11-24,TzM,CHIRPS,precipitation,0.0
2018-11-25,TzM,CHIRPS,precipitation,0.0
2018-11-26,TzM,CHIRPS,precipitation,5.385626792907715
2018-11-27,TzM,CHIRPS,precipitation,0.0
2018-11-28,TzM,CHIRPS,precipitation,0.0
2018-11-29,TzM,CHIRPS,precipitation,0.0
2018-11-30,TzM,CHIRPS,precipitation,0.0
2018-12-01,TzM,CHIRPS,precipitation,0.0
2018-12-02,TzM,CHIRPS,precipitation,0.0
2018-12-03,TzM,CHIRPS,precipitation,0.0
2018-12-04,TzM,CHIRPS,precipitation,0.0
2018-12-05,TzM,CHIRPS,precipitation,0.0
2018-12-06,TzM,CHIRPS,precipitation,0.0
2018-12-07,TzM,CHIRPS,precipitation,0.0
2018-12-08,TzM,CHIRPS,precipitation,0.0
2018-12-09,TzM,CHIRPS,precipitation,0.0
2018-12-10,TzM,CHIRPS,precipitation,0.0
2018-12-11,TzM,CHIRPS,precipitation,0.0
2018-12-12,TzM,CHIRPS,precipitation,0.0
2018-12-13,TzM,CHIRPS,precipitation,7.9811110496521
2018-12-14,TzM,CHIRPS,precipitation,0.0
2018-12-15,TzM,CHIRPS,precipitation,0.0
2018-12-16,TzM,CHIRPS,precipitation,0.0
2018-12-17,TzM,CHIRPS,precipitation,0.0
2018-12-18,TzM,CHIRPS,precipitation,3.110436201095581
2018-12-19,TzM,CHIRPS,precipitation,1.03681218624115
2018-12-20,TzM,CHIRPS,precipitation,0.0
2018-12-21,TzM,CHIRPS,precipitation,1.1780426502227783
2018-12-22,TzM,CHIRPS,precipitation,0.0
2018-12-23,TzM,CHIRPS,precipitation,0.0
2018-12-24,TzM,CHIRPS,precipitation,0.00024394776846747843
2018-12-25,TzM,CHIRPS,precipitation,8.051447366597131e-05
2018-12-26,TzM,CHIRPS,precipitation,0.0
2018-12-27,TzM,CHIRPS,precipitation,0.0
2018-12-28,TzM,CHIRPS,precipitation,0.0
2018-12-29,TzM,CHIRPS,precipitation,0.0
2018-12-30,TzM,CHIRPS,precipitation,0.0
2018-12-31,TzM,CHIRPS,precipitation,0.0
2019-01-01,TzM,CHIRPS,precipitation,0.0
2019-01-02,TzM,CHIRPS,precipitation,0.0
2019-01-03,TzM,CHIRPS,precipitation,0.0
2019-01-04,TzM,CHIRPS,precipitation,0.0
2019-01-05,TzM,CHIRPS,precipitation,0.0
2019-01-06,TzM,CHIRPS,precipitation,0.0
2019-01-07,TzM,CHIRPS,precipitation,0.0
2019-01-08,TzM,CHIRPS,precipitation,0.0
2019-01-09,TzM,CHIRPS,precipitation,0.0
2019-01-10,TzM,CHIRPS,precipitation,0.0
2019-01-11,TzM,CHIRPS,precipitation,0.0
2019-01-12,TzM,CHIRPS,precipitation,0.0
2019-01-13,TzM,CHIRPS,precipitation,0.0
2019-01-14,TzM,CHIRPS,precipitation,0.0
2019-01-15,TzM,CHIRPS,precipitation,0.0
2019-01-16,TzM,CHIRPS,precipitation,0.0
2019-01-17,TzM,CHIRPS,precipitation,0.0
2019-01-18,TzM,CHIRPS,precipitation,2.7572638988494877
2019-01-19,TzM,CHIRPS,precipitation,0.0
2019-01-20,TzM,CHIRPS,precipitation,0.0
2019-01-21,TzM,CHIRPS,precipitation,0.0
2019-01-22,TzM,CHIRPS,precipitation,0.0
2019-01-23,TzM,CHIRPS,precipitation,0.0
2019-01-24,TzM,CHIRPS,precipitation,0.0
2019-01-25,TzM,CHIRPS,precipitation,0.0
2019-01-26,TzM,CHIRPS,precipitation,0.0
2019-01-27,TzM,CHIRPS,precipitation,0.0
2019-01-28,TzM,CHIRPS,precipitation,0.0
2019-01-29,TzM,CHIRPS,precipitation,1.715341567993164
2019-01-30,TzM,CHIRPS,precipitation,0.0
2019-01-31,TzM,CHIRPS,precipitation,1.715341567993164
2019-02-01,TzM,CHIRPS,precipitation,5.105145454406738
2019-02-02,TzM,CHIRPS,precipitation,0.0
2019-02-03,TzM,CHIRPS,precipitation,0.0
2019-02-04,TzM,CHIRPS,precipitation,0.0
2019-02-05,TzM,CHIRPS,precipitation,0.0
2019-02-06,TzM,CHIRPS,precipitation,0.0
2019-02-07,TzM,CHIRPS,precipitation,0.0
2019-02-08,TzM,CHIRPS,precipitation,0.0
2019-02-09,TzM,CHIRPS,precipitation,0.0
2019-02-10,TzM,CHIRPS,precipitation,2.7786006927490234
2019-02-11,TzM,CHIRPS,precipitation,0.0
2019-02-12,TzM,CHIRPS,precipitation,0.0
2019-02-13,TzM,CHIRPS,precipitation,0.0
2019-02-14,TzM,CHIRPS,precipitation,0.0
2019-02-15,TzM,CHIRPS,precipitation,0.0
2019-02-16,TzM,CHIRPS,precipitation,0.0
2019-02-17,TzM,CHIRPS,precipitation,0.0
2019-02-18,TzM,CHIRPS,precipitation,0.0
2019-02-19,TzM,CHIRPS,precipitation,0.0
2019-02-20,TzM,CHIRPS,precipitation,0.0
2019-02-21,TzM,CHIRPS,precipitation,0.0
2019-02-22,TzM,CHIRPS,precipitation,0.0
2019-02-23,TzM,CHIRPS,precipitation,0.0
2019-02-24,TzM,CHIRPS,precipitation,0.0
2019-02-25,TzM,CHIRPS,precipitation,0.0
2019-02-26,TzM,CHIRPS,precipitation,0.0
2019-02-27,TzM,CHIRPS,precipitation,0.0
2019-02-28,TzM,CHIRPS,precipitation,0.0
2019-03-01,TzM,CHIRPS,precipitation,0.0
2019-03-02,TzM,CHIRPS,precipitation,0.0
2019-03-03,TzM,CHIRPS,precipitation,0.0
2019-03-04,TzM,CHIRPS,precipitation,0.0
2019-03-05,TzM,CHIRPS,precipitation,1.664203643798828
2019-03-06,TzM,CHIRPS,precipitation,3.726802110671997
2019-03-07,TzM,CHIRPS,precipitation,0.0
2019-03-08,TzM,CHIRPS,precipitation,0.0
2019-03-09,TzM,CHIRPS,precipitation,0.0
2019-03-10,TzM,CHIRPS,precipitation,0.0
2019-03-11,TzM,CHIRPS,precipitation,0.0
2019-03-12,TzM,CHIRPS,precipitation,0.0
2019-03-13,TzM,CHIRPS,precipitation,0.0
2019-03-14,TzM,CHIRPS,precipitation,0.0
2019-03-15,TzM,CHIRPS,precipitation,0.0
2019-03-16,TzM,CHIRPS,precipitation,0.0
2019-03-17,TzM,CHIRPS,precipitation,0.0
2019-03-18,TzM,CHIRPS,precipitation,0.0
