name,date,product,B8,B4,B11,B3
Oran,2024-05-29,S2,3139.04829311056,2273.4465501237614,4846.264696782179,1560.5576784240918
TzM,2024-05-29,S2,,,,
Oran,2024-05-29,S2,3100.288508147688,2248.5433941831657,4748.726575391913,1587.4744869018139
TzM,2024-05-29,S2,3841.5171954825028,1598.28784308839,3321.862232240961,1208.3222793642879
Oran,2024-06-01,S2,2504.6286226278876,1874.288920688943,3851.6508225041225,1374.643216274752
TzM,2024-06-01,S2,4186.322279364285,2831.7150794639724,4002.16132375763,2487.4809467710315
Oran,2024-06-13,S2,2830.4639542079185,1963.9687371080845,4344.620616749175,1352.293755156765
TzM,2024-06-13,S2,,,,
Oran,2024-06-13,S2,2795.679623040427,1956.6514928836627,4266.242251959568,1378.5864402846526
TzM,2024-06-13,S2,3687.1530998312164,1406.6796803316754,3022.9728304579785,1096.7503369997385
Oran,2024-06-16,S2,2809.183361695545,2019.7153852103952,4426.573084261549,1395.2255440387792
TzM,2024-06-16,S2,,,,
Oran,2024-06-16,S2,2792.8179661716163,2018.323690181518,4389.626856435642,1410.664294554455
TzM,2024-06-16,S2,3398.6542156118658,1334.9306177006993,2866.222442483489,983.7964181741978
Oran,2024-06-18,S2,3100.973481332507,2274.249716377888,4879.393603032175,1594.9665068069307
TzM,2024-06-18,S2,,,,
Oran,2024-06-18,S2,3065.3387995049484,2262.1961762582505,4797.676232466995,1614.001031353135
TzM,2024-06-18,S2,3862.9584159313076,1609.283776436071,3477.17810577827,1195.149735497683
Oran,2024-06-21,S2,2860.3306389232666,2073.738474628712,4492.241272174093,1431.1976330445536
TzM,2024-06-21,S2,,,,
Oran,2024-06-21,S2,2850.363629331682,2071.7077403052804,4454.178578795378,1447.6046823432337
TzM,2024-06-21,S2,3301.328135796735,1393.3725744514543,3123.828334031876,1003.0319668324285
Oran,2024-06-23,S2,3154.4817708333317,2348.232505672442,5010.112830033,1641.6094394595702
TzM,2024-06-23,S2,,,,
Oran,2024-06-23,S2,3114.812345297028,2332.9362623762368,4925.298009488447,1667.7909318275567
TzM,2024-06-23,S2,3739.407718709999,1687.2741025611974,3662.7097384428894,1245.303560303129
Oran,2024-06-28,S2,13608.649314150161,15629.16658931518,7975.010674504947,17742.67208127062
TzM,2024-06-28,S2,3754.39972700189,1749.2941809490353,3703.440263256265,1241.3173518050717
Oran,2024-07-01,S2,2902.466854888612,2092.534679249174,4494.931195853957,1467.0158699463693
TzM,2024-07-01,S2,3170.728429184742,1402.22258974388,3053.599604662489,984.7653462318328
Oran,2024-07-03,S2,3254.029071266501,2275.8491388201323,4819.496738345708,1574.670688943894
TzM,2024-07-03,S2,,,,
Oran,2024-07-03,S2,3211.708023927392,2255.0627836221115,4737.498208023925,1595.2687706270613
TzM,2024-07-03,S2,3935.0863965382473,1858.7544772822532,3838.2593142196897,1303.4765459509053
Oran,2024-07-06,S2,2952.705200598183,2078.5281172648506,4553.824644183166,1408.162180280528
TzM,2024-07-06,S2,,,,
Oran,2024-07-06,S2,2919.815129950494,2072.5479063531347,4471.115189253299,1459.3928166254118
TzM,2024-07-06,S2,3253.1164433217396,1644.2876618448324,3347.6407186307024,1164.2562897178263
Oran,2024-07-08,S2,3306.8354347153454,2343.8506084983483,5026.976330445543,1620.5803166254123
TzM,2024-07-08,S2,,,,
Oran,2024-07-08,S2,3256.0335834364673,2315.8689150165005,4927.089792182342,1646.352194203795
TzM,2024-07-08,S2,3752.8046704199146,1924.8039850927164,3907.3065564856865,1357.4008314548191
Oran,2024-07-11,S2,2941.45946782178,2061.9641475866324,4534.203073432341,1391.0749793729367
TzM,2024-07-11,S2,,,,
Oran,2024-07-11,S2,2915.4761112830024,2046.89985561056,4457.425033518975,1423.6708565387783
TzM,2024-07-11,S2,3209.7778067264035,1678.891537058643,3424.5944505488274,1144.356336161488
Oran,2024-07-13,S2,3364.765637891912,2357.05124535891,5021.861244327555,1625.6461943069298
TzM,2024-07-13,S2,,,,
Oran,2024-07-13,S2,3314.9583462252463,2321.054287850658,4916.526815181516,1647.4641604785477
TzM,2024-07-13,S2,3794.6578914577617,1986.516459180552,3934.542971714675,1396.8493979315576
Oran,2024-07-16,S2,2984.4873143564337,2088.0180615717804,4571.265766811054,1409.4856126237617
TzM,2024-07-16,S2,,,,
Oran,2024-07-16,S2,2965.239828279701,2081.290493502475,4502.193804146036,1445.2145343440584
TzM,2024-07-16,S2,3272.488145538573,1735.3766071206055,3431.0900667202836,1172.8741886518874
Oran,2024-07-18,S2,3453.955987004951,2440.0873040429037,4727.648527743395,1768.0097076113864
TzM,2024-07-18,S2,,,,
Oran,2024-07-18,S2,3377.774997421616,2385.795211943069,4630.631639335806,1773.9685050536286
TzM,2024-07-18,S2,4096.23952468877,2334.12842238811,4417.690532289672,1675.8935987041086
Oran,2024-07-21,S2,3003.693713902638,2095.077531971946,4559.721947194716,1418.7923499381186
TzM,2024-07-21,S2,,,,
Oran,2024-07-21,S2,2977.8490743605594,2073.926206683168,4485.4080677599,1442.9767429867984
TzM,2024-07-21,S2,3294.4842997768433,1716.851023459713,3391.7289785792777,1162.1679051643082
Oran,2024-07-23,S2,3434.3583952145186,2381.5108936674906,5062.533093543728,1619.819113551979
TzM,2024-07-23,S2,,,,
Oran,2024-07-23,S2,3358.787708849009,2334.2313325082505,4906.659846844059,1666.5563376650161
