date,site,sm_surface_mean,sm_rootzone_mean,n_obs_surface,n_obs_rootzone
2021-06-29,TzM,0.15259547969694,0.2629682019132336,8,8
2021-06-30,Oran,0.06785087354756032,0.1856925148700104,8,8
2021-06-30,TzM,0.14639216154740237,0.2611841273150946,8,8
2021-07-01,Oran,0.06533489896625767,0.1842290981810112,8,8
2021-07-01,TzM,0.14460360484295767,0.2596176655191046,8,8
2021-07-02,Oran,0.06995951494232548,0.18282710317461215,8,8
2021-07-02,TzM,0.1474377888708228,0.2582618047140146,8,8
2021-07-03,Oran,0.06935373093993932,0.18140791887875463,8,8
2021-07-03,TzM,0.1436710163558784,0.2565897289467485,8,8
2021-07-04,Oran,0.07248224171764045,0.1805516649709373,8,8
2021-07-04,TzM,0.14439701124425286,0.2555279211557813,8,8
2021-07-05,Oran,0.07510036057563585,0.1797321821456072,8,8
2021-07-05,TzM,0.14682816441085086,0.2546307770657892,8,8
2021-07-06,Oran,0.0732117166712147,0.178652661287638,8,8
2021-07-06,TzM,0.14023513912443852,0.25317311440717033,8,8
2021-07-07,Oran,0.08516557899715956,0.17883701829514542,8,8
2021-07-07,TzM,0.15339653610288603,0.253350157786994,8,8
2021-07-08,Oran,0.0751075491843531,0.17785287056057178,8,8
2021-07-08,TzM,0.13662187357764005,0.2517892071903732,8,8
2021-07-09,Oran,0.07276804116783571,0.17731521469769906,8,8
2021-07-09,TzM,0.13084226784811007,0.25060591790947667,8,8
2021-07-10,Oran,0.07440881450034552,0.17696407818403398,8,8
2021-07-10,TzM,0.14026993562124274,0.25031685174785945,8,8
2021-07-11,Oran,0.07978020441703129,0.17659342228511316,8,8
2021-07-11,TzM,0.14249923396978134,0.24959817760942593,8,8
2021-07-12,Oran,0.09544118128594802,0.17688220895704673,8,8
2021-07-12,TzM,0.1456119842937608,0.24890717720661892,8,8
2021-07-13,Oran,0.09005539337570057,0.1764218509197235,8,8
2021-07-13,TzM,0.14823051204132892,0.24872273977502785,8,8
2021-07-14,Oran,0.07676308895232245,0.17564081773772589,8,8
2021-07-14,TzM,0.1367952716414277,0.2476371886564026,8,8
2021-07-15,Oran,0.07337064932665371,0.17513738801000545,8,8
2021-07-15,TzM,0.13906769649015344,0.2471273803568788,8,8
2021-07-16,Oran,0.06570507146906654,0.17430379939128138,8,8
2021-07-16,TzM,0.1391916828916261,0.2464692189333666,8,8
2021-07-17,Oran,0.0637938872086586,0.17338851046000342,8,8
2021-07-17,TzM,0.13077351331747575,0.24490167992189524,8,8
2021-07-18,Oran,0.06720163089940778,0.1728391424554293,8,8
2021-07-18,TzM,0.13698130053480298,0.2442458344096514,8,8
2021-07-19,Oran,0.06604107328553176,0.17213883771271,8,8
2021-07-19,TzM,0.13139085780130694,0.24305337807163593,8,8
2021-07-20,Oran,0.06815074372303775,0.17165086379305258,8,8
2021-07-20,TzM,0.13581251691548932,0.242439453318519,8,8
2021-07-21,Oran,0.06935889133420144,0.17124587865393667,8,8
2021-07-21,TzM,0.1416411770409659,0.24206283904219927,8,8
2021-07-22,Oran,0.06309175187202747,0.1703199862578853,8,8
2021-07-22,TzM,0.13904959688845428,0.24107344394647753,8,8
2021-07-23,Oran,0.06291821897335224,0.16978475050237332,8,8
2021-07-23,TzM,0.13738783914289482,0.24014945133393134,8,8
2021-07-24,Oran,0.06425113625916053,0.16944547851921102,8,8
2021-07-24,TzM,0.13434772039641082,0.23943625212843084,8,8
2021-07-25,Oran,0.05476680089429504,0.168362107152333,8,8
2021-07-25,TzM,0.12548328329821262,0.23847887919921618,8,8
2021-07-26,Oran,0.06528903232643102,0.16868294814571005,8,8
2021-07-26,TzM,0.17846935783133006,0.24109503077833272,8,8
2021-07-27,Oran,0.0747830529330817,0.16922671609237544,8,8
2021-07-27,TzM,0.17839467680804721,0.241305697562271,8,8
2021-07-28,Oran,0.06611958030672342,0.16853190840634164,8,8
2021-07-28,TzM,0.15157308485236407,0.23910702665728564,8,8
2021-07-29,Oran,0.05976290927558646,0.16783114397501356,8,8
2021-07-29,TzM,0.1484307452490994,0.23844679062695875,8,8
2021-07-30,Oran,0.06192941600304155,0.1675189324150808,8,8
2021-07-30,TzM,0.13185287139525534,0.23678802689047232,8,8
2021-07-31,Oran,0.060153036526419554,0.1669973963169289,8,8
2021-07-31,TzM,0.12776393097163616,0.23594672223062885,8,8
2021-08-01,Oran,0.053844541257827463,0.16657869922699495,8,8
2021-08-01,TzM,0.1136286658890496,0.2348792753917606,8,8
2021-08-02,Oran,0.05186382573952926,0.16640772233243847,8,8
2021-08-02,TzM,0.10859671280425233,0.23415588705163248,8,8
